accuracy,precision,recall,f1-score,specificity,g mean,
0.866467912,0.060706402,1,0.1144641,0.865305476,0.930217973,LogReg
0.976295133,0.196202532,0.563636364,0.291079812,0.979889153,0.74316967,NAM
0.980466289,0.165048544,0.309090909,0.215189873,0.986334022,0.552147516,LSTM
0.959968603,0.112403101,0.527272727,0.185303514,0.963737134,0.712848025,Trans
0.975578814,0.184713376,0.527272727,0.273584906,0.979523276,0.718662584,TCN
