accuracy,precision,recall,f1-score,specificity,g mean,
0.90553219,0.064102564,1,0.120481928,0.904916965,0.951271236,LogReg
0.974225122,0.202020202,1,0.336134454,0.974055829,0.986942668,LSTM
0.939896036,0.093596059,0.95,0.170403587,0.939829954,0.944901295,Trans
0.972420506,0.142857143,0.65,0.234234234,0.974526453,0.795890818,TCN
