accuracy,precision,recall,f1-score,specificity,g mean
0.8502423263327948,0.011025358324145534,0.25,0.021119324181626188,0.8541463414634146,0.46210018974877476
0.8996095021151969,0.01675041876046901,0.25,0.03139717425431711,0.9038650507697347,0.47535908815592626
0.9602014294996751,0.13780918727915195,0.975,0.24148606811145512,0.9601046435578809,0.9675236573174497
0.993640958747758,0.5084745762711864,0.75,0.6060606060606061,0.995240439849007,0.8639619956264021
0.9063468755098711,0.050505050505050504,0.75,0.0946372239747634,0.9073739530300542,0.8249427039331524
