accuracy,precision,recall,f1-score,specificity,g mean
0.9899203000468824,0.4411764705882353,0.8571428571428571,0.5825242718446602,0.9910186717088159,0.9216531754138395
0.9936634592818587,0.5769230769230769,0.8571428571428571,0.6896551724137931,0.9947941315664931,0.9234071064269818
0.9936560150375939,0.5833333333333334,0.8,0.6746987951807228,0.9952617863065625,0.8923056813924531
0.9905904493060457,0.4666666666666667,1.0,0.6363636363636364,0.9905123339658444,0.9952448613109461
0.9912859161563825,0.4861111111111111,1.0,0.6542056074766355,0.9912134884825458,0.9955970512624802
0.9922188163169063,0.5161290322580645,0.9142857142857143,0.6597938144329897,0.992867332382311,0.9527667176062107
0.9896128423040604,0.44,0.9428571428571428,0.6,0.9900023803856225,0.966142233727601
0.9896005672417868,0.4383561643835616,0.9142857142857143,0.5925925925925926,0.9902287893231649,0.9514998875210695
0.9898248935163275,0.42,0.6,0.49411764705882355,0.993080410403245,0.7719120715741833
0.9774934849561715,0.23214285714285715,0.7428571428571429,0.35374149659863946,0.9794553272814143,0.8529920198808891
0.8714421252371917,0.0497335701598579,0.8,0.09364548494983277,0.872040181774695,0.8352437640711579
0.6680123486107813,0.017692852087756547,0.7142857142857143,0.034530386740331494,0.6676245210727969,0.6905611181561996
0.8402282453637661,0.036390101892285295,0.7142857142857143,0.06925207756232687,0.8412850635339247,0.7751889463377506
0.9850035705784337,0.03333333333333333,0.02857142857142857,0.03076923076923077,0.9930388862217955,0.1684415020306368
0.8689227836034319,0.036036036036036036,0.5714285714285714,0.06779661016949153,0.8714251381879355,0.7056608405046134
0.6883798616082081,0.02468212415856395,0.9428571428571428,0.048104956268221574,0.6862367661212705,0.8043775460743707
0.6297181079789775,0.019657577679137603,0.8857142857142857,0.038461538461538464,0.6275596241869429,0.7455457895259443
