accuracy,precision,recall,f1-score,specificity,g mean,
0.737364195,0.023990638,1,0.046857143,0.735657686,0.857704895,LogReg
0.984152139,0.300699301,1,0.462365591,0.984043402,0.991989618,LSTM
0.717267552,0.022428884,0.976190476,0.043850267,0.715536453,0.835763047,Trans
0.988936305,0.359223301,0.902439024,0.513888889,0.989500477,0.944967642,TCN
