accuracy,precision,recall,f1-score,specificity,g mean
0.9912467471019636,0.5862068965517241,0.9807692307692307,0.7338129496402878,0.991377245508982,0.9860589731248142
0.9789199431549029,0.35714285714285715,0.8490566037735849,0.5027932960893855,0.9805708803070281,0.9124473581488193
0.9632440123310411,0.25120772946859904,1.0,0.4015444015444015,0.9627851140456183,0.9812161403307725
0.9192782526115859,0.08645533141210375,0.5660377358490566,0.15,0.9237797547487376,0.7231142377253903
0.9510339909674352,0.16810344827586207,0.75,0.2746478873239437,0.9535499398315282,0.8456727823890551
0.7146596858638743,0.031862745098039214,0.7358490566037735,0.06108065779169929,0.7143890093998554,0.72503963934049
0.8989754586609483,0.07534246575342465,0.6346153846153846,0.1346938775510204,0.902291917973462,0.7567088823055281
0.8518606870229007,0.07738095238095238,0.9811320754716981,0.14344827586206896,0.8502053636143996,0.9133256554921501
0.9543826128492955,0.2017167381974249,0.9038461538461539,0.3298245614035088,0.9550181378476421,0.9290799054693344
0.8952654232424677,0.10144927536231885,0.9245283018867925,0.1828358208955224,0.8948898038265924,0.9095883413432718
0.7615513526454393,0.0444015444015444,0.8846153846153846,0.08455882352941177,0.76,0.8199437128899106
0.6953499520613614,0.04003021148036254,1.0,0.07697893972403776,0.6914299587278465,0.8315226748128078
0.7619390448764098,0.041015625,0.8076923076923077,0.07806691449814127,0.7613608748481167,0.7841844948688476
0.7522825564632388,0.02980769230769231,0.5849056603773585,0.056724611161939616,0.7544414699440253,0.6642869005133815
0.8972816935289872,0.037037037037037035,0.28846153846153844,0.06564551422319474,0.904993909866017,0.5109363321767929
0.8073217726396917,0.04945717732207479,0.7735849056603774,0.09297052154195011,0.8077579897535985,0.7904868046336723
0.6667470460573909,0.02158273381294964,0.5769230769230769,0.04160887656033287,0.6678876678876678,0.6207413377540854
