accuracy,precision,recall,f1-score,specificity,g mean
0.6750618046971569,0.026623073330219522,0.75,0.05142083897158322,0.6741713570981863,0.711075606263947
0.7631619576964644,0.043233082706766915,0.9078947368421053,0.08253588516746412,0.7614435244493047,0.8314508814416078
0.7901598634176625,0.04551920341394026,0.8648648648648649,0.08648648648648649,0.7892918825561313,0.8262147525588267
0.9905820595954917,1.0,0.19736842105263158,0.32967032967032966,1.0,0.4442616583193193
0.9873123936252515,0.45,0.35526315789473684,0.39705882352941174,0.994833255049319,0.5944977744008141
0.9893469198703103,0.5432098765432098,0.5789473684210527,0.5605095541401274,0.9942196531791907,0.7586836309296412
0.9749109493572866,0.31645569620253167,1.0,0.4807692307692308,0.9746161078031965,0.9872264723978974
0.9842178554850689,0.3627450980392157,0.5,0.42045454545454547,0.9898262638910628,0.7035006268266798
0.9749884205650764,0.18840579710144928,0.34210526315789475,0.24299065420560748,0.9825027339478206,0.5797580153396503
0.990034257240735,0.6190476190476191,0.35135135135135137,0.4482758620689655,0.9974795211090107,0.5920015014228847
