accuracy,precision,recall,f1-score,specificity,g mean,
0.540145985,0.015298317,0.576923077,0.029806259,0.539690107,0.557996127,LogReg
0.981924883,0.318181818,0.396226415,0.352941176,0.989303542,0.626089607,LSTM
0.987306065,0.488888889,0.41509434,0.448979592,0.994525113,0.642512058,Trans
0.986349729,0.44,0.423076923,0.431372549,0.993328568,0.648270309,TCN
