accuracy,precision,recall,f1-score,specificity,g mean,
0.943806791,0.091633466,0.766666667,0.163701068,0.945086705,0.851214705,LogReg
0.990442055,0.428571429,1,0.6,0.990373045,0.995174881,LSTM
0.993333333,0.517241379,1,0.681818182,0.993285372,0.996637031,Trans
0.998097503,0.805555556,0.966666667,0.878787879,0.998323353,0.982367502,TCN
