accuracy,precision,recall,f1-score,specificity,g mean
0.9947797716150082,0.5869565217391305,0.675,0.627906976744186,0.99688013136289,0.8203012182545816
0.9848088859849722,0.26548672566371684,0.75,0.39215686274509803,0.9863531732982571,0.8600958551078437
0.9942763695829926,0.5531914893617021,0.65,0.5977011494252874,0.9965432098765432,0.8048310918570138
0.9906664483379728,0.36065573770491804,0.55,0.43564356435643564,0.9935717817702324,0.7392323585812703
0.8636065573770492,0.045871559633027525,1.0,0.08771929824561403,0.8627062706270627,0.9288198267840015
0.9850623768877216,0.3053435114503817,1.0,0.4678362573099415,0.9849636483807006,0.992453348213759
0.9181594083812654,0.042,0.525,0.07777777777777778,0.9207609594706369,0.6952693749346971
0.9929241402007569,0.4727272727272727,0.65,0.5473684210526316,0.9951962895477886,0.8042870061153933
0.8606260296540362,0.02588235294117647,0.55,0.04943820224719101,0.8626865671641791,0.6888233532193131
0.8779280765423952,0.039473684210526314,0.75,0.075,0.8787778146795084,0.8118394921470816
0.7971924029727498,0.02403846153846154,0.75,0.046583850931677016,0.7975062344139651,0.7733884378567304
0.8622457416900943,0.028537455410225922,0.6,0.05448354143019296,0.8639920093224571,0.7199966705433256
0.8043046357615894,0.01445578231292517,0.425,0.027960526315789474,0.8068333333333333,0.5855801966141501
0.8083554376657824,0.01896551724137931,0.55,0.03666666666666667,0.8100801068090788,0.6674908679113096
0.7961825726141079,0.01070840197693575,0.325,0.02073365231259968,0.7993316624895572,0.5096889152307573
0.8339704171514044,0.024777006937561942,0.625,0.047664442326024785,0.8353689141709888,0.7225687312338308
0.9660565723793677,0.0,0.0,0.0,0.9725293132328309,0.0
