accuracy,precision,recall,f1-score,specificity,g mean,
0.98986731,0.394736842,0.441176471,0.416666667,0.994405254,0.662350512,LogReg
0.584356197,0.020419739,1,0.040022235,0.580723477,0.762052148,LogReg
0.996126846,0.756756757,0.8,0.777777778,0.997802734,0.893444004,NAM
0.941958888,0.081632653,0.571428571,0.142857143,0.945121951,0.734894337,LSTM
0.986238532,0.347222222,0.714285714,0.46728972,0.988556124,0.840304419,Trans
0.974513104,0.181818182,0.555555556,0.273972603,0.978171235,0.737176006,TCN
