accuracy,precision,recall,f1-score,specificity,g mean,
0.836948749,0.06557377,1,0.123076923,0.83506149,0.913816989,LogReg
0.564194864,0.025751073,1,0.050209205,0.55911629,0.747740791,LogReg
0.979051288,0.350746269,1,0.519337017,0.978811495,0.989349026,LSTM
0.95942377,0.195,0.829787234,0.315789474,0.960903351,0.892941954,Trans
0.980810746,0.264705882,0.375,0.310344828,0.987867023,0.608646148,TCN
