accuracy,precision,recall,f1-score,specificity,g mean
0.6320845341018252,0.016350555918901243,0.4716981132075472,0.0316055625790139,0.6341522743857942,0.5469263490764126
0.8858315230509293,0.10076045627376426,1.0,0.18307426597582038,0.8843520782396088,0.9403999565289276
0.9905797101449275,1.0,0.25,0.4,1.0,0.5
0.9870161096417408,0.49019607843137253,0.4716981132075472,0.4807692307692308,0.9936678032148076,0.6846248811805725
0.9784503631961259,0.3125,0.5660377358490566,0.40268456375838924,0.9838116261957321,0.7462402464312754
0.9872135102533173,0.0,0.0,0.0,1.0,0.0
0.9802171290711701,0.27941176470588236,0.36538461538461536,0.31666666666666665,0.9880283410701197,0.6008413729022039
0.933606458609471,0.09747292418772563,0.5142857142857142,0.1638846737481032,0.938979741274103,0.6949128484500536
0.983169875287565,0.373134328358209,0.47619047619047616,0.41841004184100417,0.9896983075791023,0.6865019361742551
0.9872927508168946,0.0,0.0,0.0,1.0,0.0
